,LIBID,1992 LOCGVT,STABR,LIBNAME,1993 LOCGVT,1994 LOCGVT,1995 LOCGVT,1996 LOCGVT,1997 LOCGVT,1998 LOCGVT,1999 LOCGVT,2000 LOCGVT,2001 LOCGVT,2002 LOCGVT,2003 LOCGVT,2004 LOCGVT,2005 LOCGVT,2006 LOCGVT,2007 LOCGVT,2008 LOCGVT,2009 LOCGVT,2010 LOCGVT,2011 LOCGVT,2012 LOCGVT,2013 LOCGVT,2014 LOCGVT,2015 LOCGVT,2016 LOCGVT
71,WOLFE,29750,KY,WOLFE COUNTY PUBLIC LIBRARY,30088,33067,34549,36904,44606,44606,53447,55408,59529,65435,71071,76267,85127,94530,87052,133465,152434,185912,180225,213686,222474,218005,299868,291590
72,ROBERTSON,25632,KY,ROBERTSON COUNTY PUBLIC LIBRARY,26289,27814,31507,30113,34583,34583,37366,35271,46333,44895,48445,43575,72638,63117,79890,86549,96411,99421,103231,121954,117047,114562,122596,124539
73,O0000,1325126,MN,PIONEERLAND LIBRARY SYSTEM,1413762,1475292,1289452,1349129,1410895,1410895,1898783,2203371,2252926,2405500,2645098,2712101,2810360,2993719,3370459,3556428,3894852,3719769,3738434,3627410,3728166,3795658,3930024,3949742
74,M0004,415654,MS,MERIDIAN-LAUDERDALE COUNTY PUBLIC LIBRARY,646662,600321,590448,634037,638102,638102,728316,725720,766862,778342,798873,796834,800203,837049,880609,914214,929575,921101,917103,915552,917063,920554,917052,933811
75,R-APPALACHIAN,501930,NC,APPALACHIAN REGIONAL LIBRARY,506465,540836,563260,604522,671935,671935,802048,931000,998500,1022715,1111342,1186832,1261956,1319236,1391715,1503291,1646036,1508502,1412400,1423400,1422500,1456350,1479060,1509766
76,M-KINGS MOUNTAIN,141488,NC,JACOB MAUNEY MEMORIAL LIBRARY,156498,160432,168906,169353,165911,165911,188317,206185,254464,285634,341423,335965,373167,396233,441310,537320,492884,494821,569038,526381,529953,597055,628191,705282
77,NH89139,9951,NH,MILTON FREE PUBLIC LIBRARY,9951,12732,12732,12732,12732,12732,20767,17762,19985,22680,26031,29653,34979,35272,44805,44755,44755,44755,45347,45424,47807,50693,52772,56419
78,NH89198,11106,NH,HILL LIBRARY,16124,16318,18368,16603,12816,12816,13623,28598,33498,46347,49861,57660,56874,61257,61282,61709,61966,60056,68801,69186,69186,71492,72910,80000
79,800140100,10845,NY,EWELL FREE LIBRARY,10900,10700,11500,11840,13992,13992,19190,21056,41540,38927,35435,42594,22642,57924,145847,162941,141367,156256,160118,150072,156889,162206,159002,147728
80,800140240,10093,NY,ANGOLA PUBLIC LIBRARY,9144,9886,10000,10300,12104,12104,14732,14036,28125,34278,27942,26392,9034,23080,34892,59141,112582,113482,114217,116116,114063,122165,124313,128537
81,800140770,9485,NY,BOSTON FREE LIBRARY,9500,9400,9613,9780,13687,13687,13798,14117,31099,34089,27741,32321,16815,40229,56516,84896,126865,130227,127884,127258,129285,136697,126590,124634
82,800141300,189741,NY,CHEEKTOWAGA PUBLIC LIBRARY,179788,186167,237983,194444,229921,229921,261139,298164,483827,469036,484229,515723,322516,445106,1054826,1210911,1090932,1141255,1017226,1005981,1104968,1136330,1111333,1123517
83,800141870,43648,NY,AURORA TOWN PUBLIC LIBRARY,44230,45426,47022,47178,61559,61559,65927,69962,328004,474390,507450,491305,374932,390159,420832,477636,431261,468870,440322,438403,442069,455755,455616,444007
84,800142020,9000,NY,EDEN LIBRARY,11260,11742,11720,12070,18077,18077,21121,24384,42362,44971,48486,51830,21912,119110,158087,175832,168056,178151,176448,179346,179847,184489,185969,167459
85,800142120,24310,NY,ELMA PUBLIC LIBRARY,26274,27654,27500,28338,35835,35835,37015,42474,61884,70184,64503,68399,32645,219293,290197,320141,300573,301394,297174,312062,332555,351301,365341,344226
86,800142590,32810,NY,GRAND ISLAND MEMORIAL LIBRARY,32350,32374,32350,33320,34462,34462,38421,42644,80605,81947,110535,372126,321346,377093,412821,472795,410611,462086,447047,442355,462181,487739,488232,485121
87,800142720,74860,NY,HAMBURG PUBLIC LIBRARY,79110,75059,75557,76009,90153,90153,101945,123816,214989,204677,212396,256425,123802,447338,679593,747356,713700,759121,781746,770047,780019,800689,832276,791891
88,800143380,157668,NY,TOWN OF TONAWANDA PUBLIC LIBRARY,166335,158553,157548,161007,188324,188324,193800,213105,369677,346228,411383,1480201,1269999,929464,945249,1040348,978202,1058407,852247,843992,918141,970383,1009810,986728
89,800143440,15927,NY,LACKAWANNA PUBLIC LIBRARY,14790,15913,15591,15877,18214,18214,26944,28260,54328,51063,56615,73330,48897,80437,84250,98672,286948,310237,256743,280081,314303,359270,375185,375144
90,800143520,51885,NY,LANCASTER PUBLIC LIBRARY,51188,50053,50125,51004,61508,61508,81282,79277,450782,715275,748995,695714,525172,428629,446639,474478,470164,514022,472144,530439,504382,545668,556482,518320
91,800143910,7500,NY,MARILLA FREE LIBRARY,7654,8045,8000,8240,11775,11775,14235,15707,25574,55782,93825,93951,75172,105412,145636,158831,142004,158284,142679,151048,157294,160827,164324,163414
92,800144820,45258,NY,ORCHARD PARK PUBLIC LIBRARY,43690,44311,43009,44309,56759,56759,65386,77032,141601,143833,166303,157494,166453,478498,559087,585854,533201,566305,557382,594927,609524,652760,680843,658615
93,800146470,29851,NY,CITY OF TONAWANDA PUBLIC LIBRARY,31825,32607,31500,32440,42168,42168,43176,47451,232621,353376,376470,366978,323470,351928,385195,388749,376534,388694,305255,312604,325959,358238,351303,319878
